run_accession	sample_accession	sample_title	sample_alias	library_name	description	tissue_type	scientific_name
ERR2930755	SAMEA5131639	Cold_FT67_P_2	Sample_B_100	unspecified	Illumina HiSeq 2500 paired end sequencing		Hordeum vulgare subsp. vulgare
ERR2930762	SAMEA5131670	FT11_H_4	Sample_B_107	unspecified	Illumina HiSeq 2500 paired end sequencing		Hordeum vulgare subsp. vulgare
ERR2930766	SAMEA5131698	HOR1969_H_3	Sample_B_111	unspecified	Illumina HiSeq 2500 paired end sequencing		Hordeum vulgare subsp. vulgare
ERR2930767	SAMEA5131599	Cold_Barke_H_1	Sample_B_112	unspecified	Illumina HiSeq 2500 paired end sequencing		Hordeum vulgare subsp. vulgare
ERR2930770	SAMEA5131675	FT279_H_1	Sample_B_115	unspecified	Illumina HiSeq 2500 paired end sequencing		Hordeum vulgare subsp. vulgare
ERR2930775	SAMEA5131588	Barke_P_1	Sample_B_012	unspecified	Illumina HiSeq 2500 paired end sequencing		Hordeum vulgare subsp. vulgare
ERR2930784	SAMEA5131602	Cold_Barke_P_3	Sample_B_128	unspecified	Illumina HiSeq 2500 paired end sequencing		Hordeum vulgare subsp. vulgare
ERR2930788	SAMEA5131656	Cold_Igri_P_3	Sample_B_015	unspecified	Illumina HiSeq 2500 paired end sequencing		Hordeum vulgare subsp. vulgare
ERR2930789	SAMEA5131653	Cold_Igri_H_5	Sample_B_016	unspecified	Illumina HiSeq 2500 paired end sequencing		Hordeum vulgare subsp. vulgare
ERR2930790	SAMEA5131615	Cold_FT11_H_4	Sample_B_017	unspecified	Illumina HiSeq 2500 paired end sequencing		Hordeum vulgare subsp. vulgare
ERR2930792	SAMEA5131608	Cold_BCC131_P_1	Sample_B_019	unspecified	Illumina HiSeq 2500 paired end sequencing		Hordeum vulgare subsp. vulgare
ERR2930794	SAMEA5131701	HOR1969_P_2	Sample_B_020	unspecified	Illumina HiSeq 2500 paired end sequencing		Hordeum vulgare subsp. vulgare
ERR2930799	SAMEA5131625	Cold_FT279_P_3	Sample_B_025	unspecified	Illumina HiSeq 2500 paired end sequencing		Hordeum vulgare subsp. vulgare
ERR2930802	SAMEA5131707	Igri_H_4	Sample_B_028	unspecified	Illumina HiSeq 2500 paired end sequencing		Hordeum vulgare subsp. vulgare
