run_accession	sample_accession	scientific_name	study_title
ERR2930756	SAMEA5131687	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930758	SAMEA5131695	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930759	SAMEA5131645	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930760	SAMEA5131587	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930763	SAMEA5131652	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930764	SAMEA5131669	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930765	SAMEA5131607	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930768	SAMEA5131708	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930771	SAMEA5131630	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930776	SAMEA5131618	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930780	SAMEA5131616	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930781	SAMEA5131589	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930782	SAMEA5131600	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930785	SAMEA5131617	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930787	SAMEA5131715	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930791	SAMEA5131627	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930806	SAMEA5131605	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930809	SAMEA5131586	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930812	SAMEA5131644	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930817	SAMEA5131642	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930820	SAMEA5131649	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
