Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
HORVU.MOREX.r3.1HG0000030,17.222924983769932,-1.8392412654042047,1.787227512102929,-1.0291030397355925,0.3034312579207086,0.6544149226476753
HORVU.MOREX.r3.1HG0000040,2316.4338410523656,0.7710460580242195,0.32766714508296074,2.353138145202203,0.018615716641913922,0.10538816277766444
HORVU.MOREX.r3.1HG0000050,652.3677237511898,-0.46055811790622375,0.44247419816875255,-1.0408699983237764,0.29793588750621236,0.6495896349646211
HORVU.MOREX.r3.1HG0000060,650.7315466965632,-0.5188657895049974,0.4211584096749546,-1.2319967441833877,0.21795030033322405,0.5535540150712523
HORVU.MOREX.r3.1HG0000070,2050.59746288202,-0.54533591553148,0.3306614735091682,-1.649227258755198,0.09910108550243901,0.3424684327784865
HORVU.MOREX.r3.1HG0000080,320.84743659204156,-0.8136005188880971,0.5099629581948142,-1.595411011356806,0.11062035524994249,0.3686160567618433
HORVU.MOREX.r3.1HG0000090,1112.5746498178048,0.0257503174285005,0.37949750692250844,0.0678537196128632,0.9459020801940689,0.9869463464338586
HORVU.MOREX.r3.1HG0000110,939.4357839969701,0.30097184455784515,0.38710715952793795,0.7774897393395374,0.43686988577714425,0.7697384850930559
HORVU.MOREX.r3.1HG0000130,2585.800948437362,-0.4359372233378713,0.3264143532688813,-1.3355332538908649,0.18170187906389912,0.5000991111521544
HORVU.MOREX.r3.1HG0000140,150.66511812581288,-0.7253791489311047,0.6710142650959295,-1.0810189688402572,0.2796886758846441,0.6318659989290715
HORVU.MOREX.r3.1HG0000250,17.799040019149228,1.7624705845490813,1.8318472307985205,0.9621274934486773,0.33598556506174604,0.6844211071808751
HORVU.MOREX.r3.1HG0000270,111.1152022704162,-6.009945378585359,0.9791268282102341,-6.138066290728711,8.353200705068374e-10,2.9698366790895044e-08
HORVU.MOREX.r3.1HG0000350,375.6387441834838,-0.6109466005573336,0.48209693649627133,-1.267269203155492,0.2050590484623196,0.5349589163131885
HORVU.MOREX.r3.1HG0000380,45.071691661674095,-2.4093797863034534,1.5132097422541995,-1.592231214897048,0.11133276190513094,0.37011075654469544
HORVU.MOREX.r3.1HG0000390,42.136135360451426,-7.075387003685092,1.576402944899174,-4.488311206585338,7.179000497614523e-06,0.00012886730001732965
HORVU.MOREX.r3.1HG0000430,33.83693029915127,-7.761732124075705,1.9832358672359849,-3.913670709724078,9.090358160648564e-05,0.0012124346814106847
HORVU.MOREX.r3.1HG0000460,45.96194511652438,-4.6840721496023345,1.4581829855091548,-3.2122663589897766,0.0013169221624179884,0.01246935024267956
HORVU.MOREX.r3.1HG0000470,16.436402896106483,-4.656132962786439,2.1443093122497423,-2.171390543419956,0.02990166313951294,0.1493491074518952
HORVU.MOREX.r3.1HG0000480,229.8887132573161,-7.75923979456388,3.8130729750232812,-2.0349046150936845,0.04186047154489961,0.1896373544208084
HORVU.MOREX.r3.1HG0000490,1901.5022409543772,-0.7404521216133857,0.3369387773155365,-2.1975865393491554,0.02797858332431402,0.14251084563119046
HORVU.MOREX.r3.1HG0000590,3.47705161059269,4.631942189904638,5.6505607767475,0.8197314165640768,0.4123692361206571,
HORVU.MOREX.r3.1HG0000600,6.022097479166933,2.887411349732515,3.2493266766438573,0.8886183622247688,0.3742082191927294,
HORVU.MOREX.r3.1HG0000610,1613.5762306708368,0.9373218829824914,0.3671310858395407,2.5530986591316864,0.010676924811491151,0.06815613729932778
HORVU.MOREX.r3.1HG0000620,794.944413501696,-0.7770739017301589,0.3897576877904856,-1.9937359186815458,0.04618092186252305,0.20373272325823863
HORVU.MOREX.r3.1HG0000630,226.39530823954138,0.6848951057331891,0.5766938481721885,1.1876233948115467,0.2349818165824321,0.5768237542193897
HORVU.MOREX.r3.1HG0000660,456.4686909256052,-0.7287845885903897,0.4533860445782379,-1.6074261599038435,0.10796091532101695,0.36200698572328155
HORVU.MOREX.r3.1HG0000670,281.642014790471,-1.1193502719350896,0.5386418086415158,-2.078097641098734,0.037700366890680174,0.17643476098489136
HORVU.MOREX.r3.1HG0000680,3.299064591557455,4.5581385161238375,5.733422033220724,0.7950118602316327,0.4266066031110084,
HORVU.MOREX.r3.1HG0000690,37.97478950143081,8.082633790532894,3.610307843501113,2.2387658174585803,0.025171157493801048,0.1319098099831932
HORVU.MOREX.r3.1HG0000730,29.430498904776528,5.2526774870078645,1.9862645815924802,2.6445004032627666,0.008181160920353663,0.055274444497293684
HORVU.MOREX.r3.1HG0000850,3161.0446727647072,-0.2019780118650184,0.3390691547181524,-0.5956838274861966,0.5513864641664277,0.8390030582854721
HORVU.MOREX.r3.1HG0000870,518.3335383292964,-1.1297766655889065,0.4498746441230035,-2.5113143857914473,0.012028252236002446,0.07493246889878856
