source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:MF,GO:0004672,protein kinase activity,3.6400566746053466e-28,True,"""Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP."" [PMID:25399640]",1626,1610,265,19993,0.16459627329192547,0.16297662976629768,query_1,"['GO:0016301', 'GO:0016773', 'GO:0140096']"
GO:BP,GO:0006468,protein phosphorylation,3.088585051958309e-26,True,"""The process of introducing a phosphate group on to a protein."" [GOC:hb]",1610,1264,264,15075,0.2088607594936709,0.1639751552795031,query_1,"['GO:0016310', 'GO:0036211']"
GO:MF,GO:0016773,"phosphotransferase activity, alcohol group as acceptor",1.2017049660429244e-24,True,"""Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to an alcohol group (acceptor)."" [EC:2.7.1.-]",1764,1610,271,19993,0.16832298136645962,0.1536281179138322,query_1,['GO:0016772']
GO:MF,GO:0016301,kinase activity,1.0148643205581082e-23,True,"""Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."" [ISBN:0198506732]",1834,1610,276,19993,0.17142857142857143,0.1504907306434024,query_1,['GO:0016772']
GO:BP,GO:0016310,phosphorylation,2.465141493050979e-23,True,"""The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."" [ISBN:0198506732]",1723,1264,269,15075,0.21281645569620253,0.15612304120719675,query_1,['GO:0006796']
GO:MF,GO:0016772,"transferase activity, transferring phosphorus-containing groups",7.11680866979255e-22,True,"""Catalysis of the transfer of a phosphorus-containing group from one compound (donor) to another (acceptor)."" [EC:2.7.-.-]",1988,1610,287,19993,0.1782608695652174,0.1443661971830986,query_1,['GO:0016740']
GO:MF,GO:0004674,protein serine/threonine kinase activity,5.200419175894595e-21,True,"""Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate."" [EC:2.7.11.-, GOC:bf, PMID:2956925]",602,1610,125,19993,0.07763975155279502,0.20764119601328904,query_1,['GO:0004672']
GO:MF,GO:0016740,transferase activity,4.4654853905589577e-20,True,"""Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."" [EC:2.-.-.-]",4100,1610,488,19993,0.3031055900621118,0.11902439024390243,query_1,['GO:0003824']
GO:MF,GO:0043168,anion binding,3.3688342270078353e-16,True,"""Binding to an anion, a charged atom or group of atoms with a net negative charge."" [GOC:jl]",3895,1610,453,19993,0.2813664596273292,0.11630295250320924,query_1,['GO:0043167']
GO:BP,GO:0006796,phosphate-containing compound metabolic process,6.409208926139953e-15,True,"""The chemical reactions and pathways involving the phosphate group, the anion or salt of any phosphoric acid."" [GOC:ai]",2405,1264,314,15075,0.24841772151898733,0.13056133056133057,query_1,['GO:0006793']
GO:BP,GO:0006793,phosphorus metabolic process,6.409208926139953e-15,True,"""The chemical reactions and pathways involving the nonmetallic element phosphorus or compounds that contain phosphorus."" [GOC:ai]",2405,1264,314,15075,0.24841772151898733,0.13056133056133057,query_1,['GO:0008152']
GO:MF,GO:0032559,adenyl ribonucleotide binding,1.0262775514148578e-14,True,"""Binding to an adenyl ribonucleotide, any compound consisting of adenosine esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety."" [GOC:mah]",3203,1610,382,19993,0.2372670807453416,0.11926319075866375,query_1,"['GO:0030554', 'GO:0032555']"
GO:BP,GO:0036211,protein modification process,1.0583342230713938e-14,True,"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]",2284,1264,301,15075,0.23813291139240506,0.1317863397548161,query_1,"['GO:0019538', 'GO:0043412']"
GO:MF,GO:0140096,"catalytic activity, acting on a protein",4.1561833340583905e-14,True,"""Catalytic activity that acts to modify a protein."" [GOC:molecular_function_refactoring, GOC:pdt]",3040,1610,364,19993,0.22608695652173913,0.11973684210526316,query_1,['GO:0003824']
GO:MF,GO:0030554,adenyl nucleotide binding,5.408320153689231e-14,True,"""Binding to an adenyl nucleotide, an adenosine esterified with (ortho)phosphate."" [ISBN:0198506732]",3385,1610,396,19993,0.24596273291925466,0.11698670605612999,query_1,['GO:0017076']
GO:MF,GO:1901363,heterocyclic compound binding,9.633647959337242e-14,True,"""Binding to heterocyclic compound."" [GOC:TermGenie]",3938,1610,446,19993,0.27701863354037265,0.11325545962417471,query_1,['GO:0036094']
GO:MF,GO:0000166,nucleotide binding,1.7287392822175478e-13,True,"""Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose."" [GOC:mah, ISBN:0198547684]",3809,1610,433,19993,0.268944099378882,0.11367813074297715,query_1,"['GO:1901265', 'GO:1901363']"
GO:MF,GO:1901265,nucleoside phosphate binding,2.2726576246958332e-13,True,"""Binding to nucleoside phosphate."" [GOC:TermGenie]",3815,1610,433,19993,0.268944099378882,0.11349934469200525,query_1,['GO:0005488']
GO:MF,GO:0032553,ribonucleotide binding,6.375698409758245e-13,True,"""Binding to a ribonucleotide, any compound consisting of a ribonucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety."" [GOC:mah]",3458,1610,398,19993,0.24720496894409938,0.11509543088490456,query_1,"['GO:0000166', 'GO:0097367']"
