run_accession	fastq_ftp
ERR2930756	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/006/ERR2930756/ERR2930756_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/006/ERR2930756/ERR2930756_2.fastq.gz
ERR2930758	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/008/ERR2930758/ERR2930758_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/008/ERR2930758/ERR2930758_2.fastq.gz
ERR2930759	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/009/ERR2930759/ERR2930759_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/009/ERR2930759/ERR2930759_2.fastq.gz
ERR2930760	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/000/ERR2930760/ERR2930760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/000/ERR2930760/ERR2930760_2.fastq.gz
ERR2930763	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/003/ERR2930763/ERR2930763_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/003/ERR2930763/ERR2930763_2.fastq.gz
ERR2930764	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/004/ERR2930764/ERR2930764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/004/ERR2930764/ERR2930764_2.fastq.gz
ERR2930765	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/005/ERR2930765/ERR2930765_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/005/ERR2930765/ERR2930765_2.fastq.gz
ERR2930768	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/008/ERR2930768/ERR2930768_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/008/ERR2930768/ERR2930768_2.fastq.gz
ERR2930771	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/001/ERR2930771/ERR2930771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/001/ERR2930771/ERR2930771_2.fastq.gz
ERR2930776	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/006/ERR2930776/ERR2930776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/006/ERR2930776/ERR2930776_2.fastq.gz
ERR2930780	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/000/ERR2930780/ERR2930780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/000/ERR2930780/ERR2930780_2.fastq.gz
ERR2930781	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/001/ERR2930781/ERR2930781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/001/ERR2930781/ERR2930781_2.fastq.gz
ERR2930782	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/002/ERR2930782/ERR2930782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/002/ERR2930782/ERR2930782_2.fastq.gz
ERR2930785	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/005/ERR2930785/ERR2930785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/005/ERR2930785/ERR2930785_2.fastq.gz
ERR2930787	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/007/ERR2930787/ERR2930787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/007/ERR2930787/ERR2930787_2.fastq.gz
ERR2930791	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/001/ERR2930791/ERR2930791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/001/ERR2930791/ERR2930791_2.fastq.gz
ERR2930806	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/006/ERR2930806/ERR2930806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/006/ERR2930806/ERR2930806_2.fastq.gz
ERR2930809	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/009/ERR2930809/ERR2930809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/009/ERR2930809/ERR2930809_2.fastq.gz
ERR2930812	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/002/ERR2930812/ERR2930812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/002/ERR2930812/ERR2930812_2.fastq.gz
ERR2930817	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/007/ERR2930817/ERR2930817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/007/ERR2930817/ERR2930817_2.fastq.gz
ERR2930820	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/000/ERR2930820/ERR2930820_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/000/ERR2930820/ERR2930820_2.fastq.gz
ERR2930821	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/001/ERR2930821/ERR2930821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/001/ERR2930821/ERR2930821_2.fastq.gz
ERR2930822	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/002/ERR2930822/ERR2930822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/002/ERR2930822/ERR2930822_2.fastq.gz
ERR2930827	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/007/ERR2930827/ERR2930827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/007/ERR2930827/ERR2930827_2.fastq.gz
ERR2930828	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/008/ERR2930828/ERR2930828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/008/ERR2930828/ERR2930828_2.fastq.gz
ERR2930830	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/000/ERR2930830/ERR2930830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/000/ERR2930830/ERR2930830_2.fastq.gz
ERR2930833	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/003/ERR2930833/ERR2930833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/003/ERR2930833/ERR2930833_2.fastq.gz
ERR2930836	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/006/ERR2930836/ERR2930836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/006/ERR2930836/ERR2930836_2.fastq.gz
ERR2930838	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/008/ERR2930838/ERR2930838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/008/ERR2930838/ERR2930838_2.fastq.gz
ERR2930842	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/002/ERR2930842/ERR2930842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/002/ERR2930842/ERR2930842_2.fastq.gz
ERR2930845	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/005/ERR2930845/ERR2930845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/005/ERR2930845/ERR2930845_2.fastq.gz
ERR2930848	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/008/ERR2930848/ERR2930848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/008/ERR2930848/ERR2930848_2.fastq.gz
ERR2930850	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/000/ERR2930850/ERR2930850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/000/ERR2930850/ERR2930850_2.fastq.gz
ERR2930854	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/004/ERR2930854/ERR2930854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/004/ERR2930854/ERR2930854_2.fastq.gz
ERR2930857	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/007/ERR2930857/ERR2930857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/007/ERR2930857/ERR2930857_2.fastq.gz
ERR2930860	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/000/ERR2930860/ERR2930860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/000/ERR2930860/ERR2930860_2.fastq.gz
ERR2930875	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/005/ERR2930875/ERR2930875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/005/ERR2930875/ERR2930875_2.fastq.gz
ERR2930876	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/006/ERR2930876/ERR2930876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/006/ERR2930876/ERR2930876_2.fastq.gz
ERR2930878	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/008/ERR2930878/ERR2930878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/008/ERR2930878/ERR2930878_2.fastq.gz
ERR2930880	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/000/ERR2930880/ERR2930880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/000/ERR2930880/ERR2930880_2.fastq.gz
ERR2930755	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/005/ERR2930755/ERR2930755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/005/ERR2930755/ERR2930755_2.fastq.gz
ERR2930762	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/002/ERR2930762/ERR2930762_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/002/ERR2930762/ERR2930762_2.fastq.gz
ERR2930766	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/006/ERR2930766/ERR2930766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/006/ERR2930766/ERR2930766_2.fastq.gz
ERR2930767	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/007/ERR2930767/ERR2930767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/007/ERR2930767/ERR2930767_2.fastq.gz
ERR2930770	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/000/ERR2930770/ERR2930770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/000/ERR2930770/ERR2930770_2.fastq.gz
ERR2930775	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/005/ERR2930775/ERR2930775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/005/ERR2930775/ERR2930775_2.fastq.gz
ERR2930784	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/004/ERR2930784/ERR2930784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/004/ERR2930784/ERR2930784_2.fastq.gz
ERR2930788	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/008/ERR2930788/ERR2930788_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/008/ERR2930788/ERR2930788_2.fastq.gz
ERR2930789	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/009/ERR2930789/ERR2930789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/009/ERR2930789/ERR2930789_2.fastq.gz
ERR2930790	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/000/ERR2930790/ERR2930790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/000/ERR2930790/ERR2930790_2.fastq.gz
ERR2930792	ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/002/ERR2930792/ERR2930792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR293/002/ERR2930792/ERR2930792_2.fastq.gz
